this is the flight recordings. all parameters divided by TABs 
time 	ralt 	balt 	baro 	V/S 	IAS 	G-load 	Weight 	aileron 	elevator 	rudder 	roll 	pitch 	course 	flaps 	commands 	

06:52:57	0.3	27.7	751	0	70.1	1	15344	0	10.2	0	0.5	-0.5	287.4	19.6	
06:52:58	0.3	27.7	751	0	80.6	1	15343	0	10.3	0	0.4	-0.6	287.5	19.6	
06:52:59	0.3	27.7	751	0	91.7	1.02	15342	0	10.3	0	0.5	-0.6	287.2	19.6	
06:53:00	0.3	27.7	751	0	103.7	1	15341	0	10.2	9.5	0.8	-0.6	284.4	19.6	
06:53:01	0.3	27.7	751	0	113.6	1	15340	0	10.2	12.3	0.5	-0.7	285.9	19.6	
06:53:02	0.3	27.7	751	0	120.5	1.01	15339	0	10.2	12.2	0.2	-0.7	288.3	19.6	
06:53:03	0.3	27.7	751	0	129.3	0.99	15338	0	10.2	8.5	0.2	-0.7	290.7	19.6	
06:53:04	0.3	27.7	751	0	137.4	0.99	15337	0	10.2	1.3	0.3	-0.6	290.6	19.6	
06:53:05	0.3	27.7	751	0	148.3	1.02	15336	0	10.2	14.6	0.8	-0.8	288.5	19.6	
06:53:06	0.3	27.7	751	0	158.6	0.98	15335	0	10.2	9.5	0.6	-0.8	288.3	19.6	
06:53:07	0.3	27.7	751	0	168.5	1	15334	0	10.2	8	0.4	-0.9	289.4	19.6	
06:53:08	0.3	27.7	751	0	177	1	15333	0	10.2	7.1	0.5	-0.9	288.9	19.6	
06:53:09	0.4	27.8	751	0	185.7	1.02	15332	0	10.9	5.4	0.4	-1	290.2	19.6	
06:53:10	0.3	27.8	751	0	192.5	0.98	15331	0	15.5	2	0.5	-0.7	289	19.6	
06:53:11	0.4	27.8	751	0	200.7	1.01	15330	0	24.8	5.1	0.5	1	288	19.6	
06:53:12	1	27.9	751	0.3	209.9	1.43	15329	0	13.3	0.6	1.2	10.3	288.5	19.6	
06:53:13	6	29.3	751	3	217.5	1.52	15328	2.2	-3.3	0.6	0.7	15.8	286.5	19.6	
06:53:14	15.5	34.8	751	7.5	225.3	0.66	15327	0	10.4	0	0.7	7.7	286.3	19.6	
06:53:15	23	43.1	751	7.8	230.2	0.78	15326	0	11.5	0	0.3	4.5	286.8	19.6	
06:53:16	28.2	50	751	6	232.9	1.07	15325	0	9.9	0	0.9	6.9	287.4	19.6	
06:53:17	34	55.7	751	5.7	237.9	1.04	15324	0	6.8	0	3.1	6.6	288.3	19.6	
06:53:18	40.3	61.7	751	6.1	244.6	0.89	15323	0	10.3	0	3	4.6	287.6	19.6	
06:53:19	45.9	67.8	751	5.7	249.6	1.16	15322	0	10.6	0	-1.1	6.7	287.9	19.6	
06:53:20	52.9	73.7	751	6.4	252	1.26	15321	0	8.2	0	-0.7	9.2	288.1	19.6	
06:53:21	62.2	81	751	8.3	256.5	1.09	15320	0	9.3	0	-2.6	8.2	288	19.6	
06:53:22	72.4	90.1	751	9.7	260.1	1.08	15319	0	7.1	0	-2.9	8.3	287.2	19.6	
06:53:24	83.6	100.4	751	10.5	264.7	0.97	15318	0.6	8.4	0	-2.7	7.7	286.2	19.6	
06:53:25	94.9	111.3	751	11.1	270.2	1.09	15317	0	7.4	0	-1.4	9	286.5	19.6	
06:53:26	107.6	123	751	11.9	271.4	0.99	15316	0	4.4	0	-1.6	9.5	286.3	19.6	
06:53:27	120.4	135.4	751	12.6	269.3	0.82	15315	0.3	7	0	-2.6	7.2	286.4	19.6	
06:53:28	132.2	148.1	751	11.9	268.4	1.02	15314	0.5	6.6	0	-0.9	8.1	286.8	19.6	
06:53:29	144.3	160.1	751	11.7	270.5	1	15313	1.1	5.9	0	-0.9	8.2	285.8	19.6	
06:53:30	156.5	172.2	751	12	272.6	0.97	15312	0	6.8	0	0.1	7.4	285.5	19.6	
06:53:31	168.8	184.4	751	12	277.4	1.1	15311	1.9	6.4	0	-0.8	8.2	285.6	19.6	
06:53:32	181.7	196.7	751	12.5	279.3	1.05	15310	0	6	0	3.8	9	286.1	19.6	
06:53:33	195.3	209.5	751	13.2	282.1	1.05	15309	0	4.7	0	2.7	9	285.7	19.6	
06:53:34	209.7	223.2	751	14	285.4	0.9	15308	0	5.1	0	0.4	8.1	286.1	19.6	
06:53:35	224.1	237.7	751	14.1	286.2	1.02	15307	0	4.2	0	1.9	7.9	287.1	19.6	
06:53:36	237.9	251.9	751	13.8	287.6	0.88	15306	0	4.8	0	2	7.6	286.4	18.5	
06:53:37	250.9	265.6	751	13.1	288.5	1	15305	0	3.9	0	-0.1	8.2	286.8	16.7	
06:53:38	263.5	278.6	751	12.7	291.4	0.9	15304	0	4.7	0	-1.3	8.1	287.3	14.9	
06:53:39	275.8	291.4	751	12.2	293	0.88	15303	0.2	3.9	0	-1.6	8.3	286.6	13.1	
06:53:40	287.2	303.6	751	11.5	294.5	0.79	15302	0	3.1	0	-1	7.8	287.4	11.3	
06:53:41	297	314.6	751	10.3	297.8	0.9	15301	0	4	0	-1.6	7.2	286.9	9.5	
06:53:42	305.9	324.6	751	9.1	302.7	0.88	15300	0	2.3	0	-0.7	7.1	286	7.7	
06:53:43	313.3	333.2	751	8	305.3	0.84	15299	1.3	2.9	0	0.5	6.8	286.8	6	
06:53:44	319.9	340.8	751	6.8	309.3	1.01	15298	1.3	3.4	0	5.2	7.5	286.6	4.2	
06:53:45	326.8	347.6	751	6.6	314.6	1.07	15297	2.6	2.8	0	8.7	8.5	288	2.4	
06:53:46	334.5	354.6	751	7.2	319.4	1	15297	2.1	2.6	0	10.7	9.1	288.7	0.6	
06:53:47	342.9	362.4	751	7.9	324.1	1.03	15296	1.1	2.5	0	15.6	9.2	291.4	0.2	
06:53:48	351.7	370.8	751	8.4	325.6	1.09	15295	0	3	0	18.2	9.3	293.9	0.2	
06:53:49	361.1	379.5	751	8.9	327.9	1.06	15294	0.1	2.5	0	18.6	9.9	295.1	0.2	
06:53:50	371	388.9	751	9.6	332.2	1.18	15294	0	2.6	0	19.1	10.5	297.1	0.2	
06:53:51	382	399.1	751	10.4	332.6	1.02	15293	0	1.3	0	20.1	9.9	300.2	0.2	
06:53:52	392.7	409.9	751	10.5	333.4	1.01	15292	0	1.7	0	19.5	9.5	301.6	0.2	
06:53:53	403	420.4	751	10.2	335.2	1.05	15292	0	1.5	0	19.6	9.5	303.3	0.2	
06:53:54	413.1	430.7	751	10.1	336.1	1.07	15291	0	0.2	0	19.7	9.2	305.5	0.2	
06:53:55	422.6	440.7	751	9.7	338.6	0.67	15291	0	-0.8	0	20	6.6	306.4	0.2	
06:53:56	428.8	449.6	751	7.6	339.5	0.68	15290	0	0.8	0	19.9	4.3	307.9	0.2	
06:53:57	432	455.6	751	4.5	339.4	1	15290	0	0.8	0	20.4	5.1	310.2	0.2	
06:53:58	434.8	459.3	751	3.1	340.3	1.01	15289	0	1.8	0	21.6	4.8	312.8	0.2	
06:53:59	437.8	462.3	751	2.9	341	1.25	15289	0	2.2	0	21	6.2	316.1	0.2	
06:54:00	442.4	465.6	751	3.9	340.3	1.23	15289	0	1.5	0	20.6	7.5	318.4	0.2	
06:54:01	448.6	470.4	751	5.4	340.5	1.04	15288	0	1.2	0	21	7	319.4	0.2	
06:54:02	454.5	476.2	751	5.8	339.5	1.06	15288	0	1.5	0	18.9	6.4	322.6	0.2	
06:54:03	460.1	482	751	5.6	337.6	1.14	15287	0	1.4	0	18.6	7.4	324.7	0.2	
06:54:04	466.1	487.7	751	5.8	336.6	1.02	15287	0	1.2	0	18.8	7.1	326.6	0.2	
06:54:05	472.1	493.7	751	5.9	336.2	1.01	15287	0	1.5	0	18.7	6.6	327.9	0.2	
06:54:06	477.5	499.5	751	5.6	334.5	0.98	15286	0	0.6	0	17.9	6.2	330.2	0.2	
06:54:07	482.4	505	751	5	332.4	1.02	15286	0	1.5	0	18.1	5.8	331.9	0.2	
06:54:08	486.6	509.8	751	4.4	332.8	1.06	15286	0.2	1	0	17.5	6.2	333.9	0.2	
06:54:09	490.8	514.1	751	4.2	332.9	1.02	15285	0	1.5	0	18.5	5.6	335.3	0.2	
06:54:10	494.8	518.3	751	4	332.2	1.04	15285	0	1.5	0	17.1	5.7	336.6	0.2	
