this is the flight recordings. all parameters divided by TABs 
time 	ralt 	balt 	baro 	V/S 	IAS 	G-load 	Weight 	aileron 	elevator 	rudder 	roll 	pitch 	course 	flaps 	commands 	

08:13:40	0.3	25	735	0	70.2	1	13534	0	4.8	1.4	0.1	-0.7	288.9	19.8	
08:13:41	0.3	24.9	735	0	81	1.02	13533	0	5.3	0	0.1	-0.6	289.2	19.8	
08:13:42	0.3	24.9	735	0	91.8	1	13532	0	5.2	1.3	0.1	-0.9	289	19.8	
08:13:43	0.3	24.9	735	0	102.5	1.01	13531	0	4.5	0.9	0	-0.6	288.8	19.8	
08:13:44	0.3	25	735	0	113.3	0.99	13530	0	5.7	0	-0.1	-0.8	289	19.8	
08:13:45	0.3	25	735	0	123.8	1.01	13529	0	4.6	0.3	0	-0.8	288.9	19.8	
08:13:46	0.3	25	735	0	134.4	1	13528	0	5.7	-0.2	0.1	-1	289.2	19.8	
08:13:47	0.3	25	735	0	144.8	1.02	13527	0	4.9	0.3	0	-0.7	289.2	19.8	
08:13:48	0.3	25	735	0	155	1	13527	0	4.6	0.3	-0.1	-1	289	19.8	
08:13:49	0.4	25	735	0	165.2	0.96	13526	0	6.5	0.2	0.1	-1.1	288.8	19.8	
08:13:50	0.3	25	735	0	175.3	1	13525	0	12.4	0.1	0.2	-0.8	288.7	19.8	
08:13:51	0.4	25	735	0	185	1.05	13524	0.1	20.9	0.1	-0.1	-0.1	288.7	19.8	
08:13:52	0.5	25.1	735	0.1	194.1	1.04	13523	0.1	8	0.1	0	4.9	288.6	19.8	
08:13:53	1.4	25.3	735	0.5	202.5	1.14	13522	0	9.4	0	0.1	7.2	288.6	19.8	
08:13:54	3.9	26.4	735	1.8	210.8	1.03	13521	0	11.1	0	0.1	6.2	288.6	19.8	
08:13:56	7.1	28.8	735	2.8	218.6	1.05	13520	0	9.7	0	0.1	6	288.6	19.8	
08:13:57	11	32	735	3.5	225.7	1.06	13519	0	9.7	0	0.1	6.2	288.6	19.8	
08:13:58	15.8	36	735	4.3	232.2	1.08	13518	0	9.2	0	0.1	6.5	288.6	19.8	
08:13:59	21.6	40.8	735	5.3	237.9	1.09	13518	0	8.2	0	0.1	7	288.6	19.8	
08:14:00	28.4	46.6	735	6.3	243	1.01	13517	0	6.7	0	0.1	6.5	288.6	19.8	
08:14:01	35.6	53.3	735	6.9	247.7	0.92	13516	0	7.1	0	0	5.2	288.6	19.8	
08:14:02	42.2	60.3	735	6.7	252.3	0.97	13515	0	6.8	0	0	4.7	288.6	19.8	
08:14:03	48.7	66.9	735	6.5	257	1.03	13514	0	5.5	0	0	5	288.6	19.8	
08:14:04	55.6	73.5	735	6.7	261.9	1.04	13513	0	6.4	0	0	5	288.6	19.8	
