1B|SABLE ISLAND|277000|0|0|195|43930556|-60022806|0|CY
1E|BLACK TICKLE|349000|0|0|195|53466667|-55787222|0|CY
1F|MANTA|350000|0|0|195|47630833|-65744445|0|CY
1U|MASSET|278000|0|0|195|54031667|-132126667|0|CY
2A|SOUTH INDIAN LAKE|330000|0|0|195|56793950|-98904347|0|CY
2BD|ZAKUM|373000|0|0|195|24833334|53600000|0|OM
2F|BATHURST|382000|0|0|195|47593653|-65844700|0|CY
2I|FLORENCEVILLE|359000|0|0|195|46385042|-67607789|0|CY
2J|GRAND FORKS|250000|0|0|195|49018231|-118424470|0|CY
2K|CAMROSE|405000|0|0|195|53032500|-112813333|0|CY
2M|OPAPIMISKAN LAKE|393000|0|0|195|52603056|-90374445|0|CY
2Q|MONT-LAURIER|373000|0|0|195|46536667|-75470000|0|CY
2S|HIGH PRAIRIE|406000|0|0|195|55390667|-116484000|0|CY
2T|POKEMOUCHE|227000|0|0|195|47717825|-64889611|0|CY
2U|MACKENZIE|284000|0|0|195|55304928|-123137367|0|CY
3B|BROCKVILLE|391000|0|0|195|44701389|-75700000|0|CY
3J|DAVIS INLET|345000|0|0|195|55894267|-60917400|0|CY
3M|DRAYTON VALLEY|385000|0|0|195|53266731|-114954389|0|CY
3N|WEYBURN|298000|0|0|195|49695858|-103805242|0|CY
3U|GATINEAU|414000|0|0|195|45519039|-75564247|0|CY
3X|CLUFF LAKE|243000|0|0|195|58354295|-109525867|0|CY
3Z|TABER|111000|0|1|195|49826667|-112178333|2648|CY
3Z|TABER|388000|0|0|195|49826695|-112175892|0|CY
4B|LITTLE GRAND RAPDS|280000|0|0|195|52044275|-95462906|0|CY
4D|HELMET|364000|0|0|195|59421389|-120789445|0|CY
4G|CROSS LAKE|353000|0|0|195|54610836|-97766314|0|CY
4K|ST THERESA PT|300000|0|0|195|53845000|-94849445|0|CY
4L|CHATAM-KENT|108600|0|1|195|42312072|-82077769|674|CY
4L|CHATHAM|236000|0|0|195|42313883|-82077783|0|CY
4M|RED SUCKER LAKE|399000|0|0|195|54169092|-93563025|0|CY
4N|OXFORD HOUSE|386000|0|0|195|54928717|-95282342|0|CY
4O|SWAN HILLS|251000|0|0|195|54675053|-115424464|0|CY
4Q|BROCHET|347000|0|0|195|57885970|-101678950|0|CY
4T|SHAMATTAWA|280000|0|0|195|55854281|-92083128|0|CY
4V|LAC BROCHET|371000|0|0|195|58618278|-101470389|0|CY
5B|SUMMERSIDE|254000|0|0|195|46396667|-63881667|0|CY
5J|CORONATION|328000|0|0|195|52066731|-111452531|0|CY
5Q|FONTANGES|239000|0|0|195|54560000|-71171111|0|CY
5V|DRUMHELLER|395000|0|0|195|51502561|-112750931|0|CY
5W|LEAF RAPIDS|226000|0|0|195|56450089|-99993359|0|CY
5Y|TRENTON|338000|0|0|195|45611739|-62625145|0|CY
5Z|OYEN MUNI|366000|0|0|195|51336728|-110492481|0|CY
6E|GRAND MANAN|387000|0|0|195|44715000|-66801667|0|CY
6F|PORT HOPE SIMPSON|367000|0|0|195|52520045|-56295678|0|CY
6K|VERNON|302000|0|0|195|50350000|-119256000|0|CY
6M|BELLVILLE|283000|0|0|195|44195056|-77308058|0|CY
6P|RAINBOW LAKE MOBL|291000|0|0|195|58552017|-118918120|0|CY
6Q|CIGAR LAKE|222000|0|0|195|58086803|-104485558|0|CY
6R|BROMONT|343000|0|0|195|45240964|-72796450|0|CY
7B|ST-THOMAS|375000|0|0|195|42770833|-81105833|0|CY
7D|HUDSON BAY|337000|0|0|195|52847797|-102186581|0|CY
7F|COLLINS BAY|400000|0|0|195|58222356|-103685183|0|CY
7H|MARYSTOWN|234000|0|0|195|47138300|-55324153|0|CY
7J|FORESTBURG|261000|0|0|195|52576389|-112086111|0|CY
7L|LA SARRE|387000|0|0|195|48910000|-79178333|0|CY
7P|IROQUOIS FALLS|382000|0|0|195|48708420|-80736547|0|CY
7V|JASPER HINTON|233000|0|0|195|53321147|-117755072|0|CY
8A|CARLYLE|310000|0|0|195|49645017|-102280472|0|CY
8C|FAIRVIEW|295000|0|0|195|56075294|-118439153|0|CY
8F|DEBERT|239000|0|0|195|45422017|-63459622|0|CY
8G|STETTLER|286000|0|0|195|52308397|-112754445|0|CY
8H|ST PAUL|375000|0|0|195|53992031|-111390608|0|CY
8J|PROVOST|208000|0|0|195|52333611|-110273333|0|CY
8K|VALLEYVIEW|229000|0|0|195|55035017|-117287936|0|CY
8M|ELK POINT|414000|0|0|195|53890089|-110767506|0|CY
8N|EDSON|393000|0|0|195|53580622|-116454186|0|CY
8RB|GEORGETOWN|300000|0|0|195|6826945|-58162778|0|SY
8U|PETAWAWA|112500|0|1|195|45946725|-77317517|426|CY
9A|HANNA|221000|0|0|195|51628397|-111900900|0|CY
9H|LA GRANDE-3|235000|0|0|195|53573795|-76200828|0|CY
9Q|AMOS|291000|0|0|195|48559256|-78245603|0|CY
9S|POWELL RIVER|109300|0|1|195|49835556|-124499167|455|CY
